일련번호,종류,의료기관명,도로명주소,전화번호,위도,경도,동구분
182,의원,이화웰봄소아청소년과의원,"인천광역시 연수구 인천타워대로54번길 13, 해승메디피아 2층 (송도동)",032-833-7119,126.6463595,37.37917306,송도동
183,의원,마음정원정신건강의학과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 2층 201,202호 (송도동)",032-833-3950,126.64915,37.39716984,송도동
184,의원,삼성스마일의원,"인천광역시 연수구 앵고개로104번길 4, 준빌딩 4층 402호 (동춘동)",032-833-4976,126.6570538,37.41238996,동춘동
185,의원,늘이비인후과의원,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 2층 233,234,235,236,237호 (송도동)",032-833-3650,126.627633,37.41050721,송도동
186,의원,송도탑이비인후과의원,"인천광역시 연수구 컨벤시아대로130번길 14, 송도 메디컬타워 (송도동)",032-833-5075,126.6448883,37.392955,송도동
187,의원,굿닥터신경외과의원,"인천광역시 연수구 독배로40번길 11, 301호, 302호, 303호 (옥련동, 효명프라자)",032-833-7501,126.6456358,37.42452763,옥련동
188,의원,연세꾸러기소아청소년과의원,"인천광역시 연수구 독배로40번길 43, 301호 (옥련동, 신송빌딩)",032-833-7533,126.6472628,37.4246223,옥련동
189,의원,신비라인의원,인천광역시 연수구 컨벤시아대로 81 (송도동),032-833-7580,126.6501653,37.39494268,송도동
190,의원,인하정형외과의원,"인천광역시 연수구 독배로 41, 3,4층 (옥련동, 인영프라자)",032-833-8275,126.6443535,37.42442552,옥련동
191,의원,송도서울정형외과의원,"인천광역시 연수구 해돋이로 167, 힐링플라자 2,3층 (송도동)",032-833-5510,126.6444899,37.39480261,송도동
192,의원,고려가정의학과의원,"인천광역시 연수구 청학로 5, 3층 (청학동, 행복빌딩)",032-834-2475,126.6632475,37.42755867,청학동
193,의원,송도에이치케이(HK)의원,"인천광역시 연수구 컨벤시아대로230번길 54, 닥터플러스몰 3층 A321,A322호 (송도동)",032-833-8833,126.6343345,37.38874008,송도동
194,의원,제이드비뇨기과의원,"인천광역시 연수구 컨벤시아대로 81, 312호 (송도동, 드림시티상가)",032-833-9696,126.6501653,37.39494268,송도동
195,의원,삼성연합의원,"인천광역시 연수구 독배로40번길 21, 3층 (옥련동)",032-833-8556,126.6460172,37.4244745,옥련동
196,의원,아라소아청소년과의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 302호 (송도동)",032-834-0302,126.6349141,37.38808543,송도동
197,의원,송도비앤미의원,"인천광역시 연수구 센트럴로 160, 237호 (송도동, 송도센트럴파크푸르지오)",032-834-5011,126.644994,37.39200033,송도동
198,의원,권도승정형외과의원,인천광역시 연수구 비류대로 208 (옥련동),032-834-5626,126.6576816,37.42741548,옥련동
199,의원,현대가외의원,"인천광역시 연수구 독배로 42, 3층 (옥련동)",032-834-6653,126.6449035,37.42451603,옥련동
200,의원,연세정형외과의원,인천광역시 연수구 비류대로 194 (옥련동),032-834-7000,126.656311,37.4277347,옥련동
201,의원,솔이산부인과의원,"인천광역시 연수구 독배로 35 (옥련동,IF빌딩 4층)",032-834-1118,126.6444308,37.42390059,옥련동
202,의원,잇츠미성형외과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 5층 A-501,502,503,504,505호 (송도동)",032-851-1103,126.6421469,37.38419018,송도동
203,의원,코아이비인후과의원,"인천광역시 연수구 컨벤시아대로 69, 409호 (송도동, 밀레니엄빌딩)",032-834-9009,126.6509557,37.39571542,송도동
204,의원,gsw마취통증의학과의원,"인천광역시 연수구 해돋이로 107 (송도동,더샵퍼스트월드 H동상가 71-72호)",032-835-7331,126.648814,37.38960595,송도동
205,의원,송도성모마취통증의학과의원,"인천광역시 연수구 하모니로178번길 22, 송도GTX센트럴 5층 512호 (송도동)",032-834-7581,126.6408363,37.383072,송도동
206,의원,하얀나라피부과의원,"인천광역시 연수구 해돋이로 107, H동 76,77호 (송도동, 더샵퍼스트월드)",032-835-7590,126.648814,37.38960595,송도동
207,의원,송도맘편한소아청소년과의원,"인천광역시 연수구 랜드마크로 68, 301동 1,2층 43호,256호,257호 (송도동, 랜드마크시티센트럴더샵)",032-851-1365,126.6212329,37.41563898,송도동
208,의원,에코이비인후과의원,"인천광역시 연수구 신송로 121, 405호 (송도동, 센타프라자)",032-851-3232,126.6518858,37.3953922,송도동
209,의원,꼬꼬마소아청소년과의원,"인천광역시 연수구 독배로 42, 2층 (옥련동, 해창빌딩)",032-851-4977,126.6449035,37.42451603,옥련동
210,의원,송도내과의원,"인천광역시 연수구 해돋이로120번길 16, 201호 (송도동, 송도신도시풍림아이원 2단지 상가)",032-851-7505,126.6523864,37.39483785,송도동
211,의원,밀레니엄서울내과의원,"인천광역시 연수구 컨벤시아대로 69, 송도 밀레니엄 4층 402호 (송도동)",032-851-1001,126.6509557,37.39571542,송도동
212,의원,PNC안과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 808,809호 (송도동)",032-858-2201,126.64915,37.39716984,송도동
213,의원,오블리브 의원,"인천광역시 연수구 인천타워대로132번길 34, 301,302호 (송도동)",032-851-9119,126.6439442,37.38636286,송도동
214,의원,제이웰의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 (송도동)",032-851-9700,126.6349141,37.38808543,송도동
215,의원,베스트이비인후과의원,"인천광역시 연수구 랜드마크로 68, 301동 2층 234,266,267,268호 (송도동, 랜드마크시티센트럴더샵)",032-851-8575,126.6212329,37.41563898,송도동
216,의원,송도센트럴정신건강의학과의원,"인천광역시 연수구 하모니로178번길 22, 송도GTX센트럴 6층 603호 (송도동)",032-858-0075,126.6408363,37.383072,송도동
217,의원,송도이.이.주내과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 801,802호 (송도동)",032-858-3114,126.64915,37.39716984,송도동
218,의원,휴먼피부과의원,"인천광역시 연수구 센트럴로 263, 송도국제업무단지 C8-2블럭 업무복합시설 5층 (송도동)",032-858-3335,126.6335872,37.39866124,송도동
219,의원,윰산부인과의원,"인천광역시 연수구 인천타워대로132번길 34, 라이크홈메디컬센터 1동 2,5층 204,503호 (송도동)",032-858-3773,126.6439442,37.38636286,송도동
220,의원,안녕성형외과의원,"인천광역시 연수구 해돋이로 168-2, 에스원타워 3층 302,303,304호 (송도동)",032-858-5400,126.6456783,37.3950122,송도동
221,의원,연세소아청소년과의원,"인천광역시 연수구 컨벤시아대로 69, 4층 411호 (송도동, 송도 밀레니엄)",032-858-0675,126.6509557,37.39571542,송도동
222,의원,송도정형외과의원,"인천광역시 연수구 컨벤시아대로 69, 4층 (송도동, 밀레니엄빌딩)",032-859-7575,126.6509557,37.39571542,송도동
223,의원,설레이는의원,"인천광역시 연수구 컨벤시아대로 116 (송도동,대우월드마크 702동 2층 201호, 202호)",032-859-0220,126.6463773,37.39374814,송도동
224,의원,미앤아이의원,"인천광역시 연수구 컨벤시아대로 69, 6층 608호 (송도동, 밀레니엄상가)",032-859-2345,126.6509557,37.39571542,송도동
225,의원,송도여성의원,"인천광역시 연수구 신송로 122 (송도동,송도프라자 2층 201호)",032-859-0075,126.6524353,37.39581436,송도동
226,의원,송도코엔이비인후과의원,"인천광역시 연수구 해돋이로 168-2, 에스원타워1 4층 401,402,403호 (송도동)",032-859-5119,126.6456783,37.3950122,송도동
227,의원,연세최선내과의원,"인천광역시 연수구 신송로125번길 7, 4층 (송도동, 이리옴프라자)",032-859-7582,126.6515588,37.39494818,송도동
228,의원,송도플러스정형외과의원,"인천광역시 연수구 컨벤시아대로230번길 54, H101,H104,H105,H201,H301,H401일부,H501,H601호, 닥터플러스몰 1~6층 (송도동)",032-859-8000,126.6343345,37.38874008,송도동
229,의원,송도원비뇨의학과의원,"인천광역시 연수구 인천타워대로132번길 34, 라이크홈메디컬센터 4층 403호 (송도동)",032-859-8686,126.6439442,37.38636286,송도동
230,의원,정부순의원,인천광역시 연수구 해돋이로 102 (송도동),032-872-2754,126.6510626,37.3914095,송도동
231,의원,바른나무신경외과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 4층 401,402,403,404호 (송도동)",032-859-7300,126.6484391,37.39759467,송도동
232,치과의원,브레인치과의원,"인천광역시 연수구 해돋이로 160-19, 카리스프라자 4층 406호 (송도동)",032-214-2888,126.6469883,37.39624931,송도동
233,의원,송도허브여성의원,"인천광역시 연수구 테크노파크로111번길 4, 드 메티스 빌딩 2~5층, 8층 (송도동)",1577-5165,126.6442531,37.38605773,송도동
234,치과의원,인천베스트치과의원,"인천광역시 연수구 독배로40번길 21, 유한빌딩 201호 (옥련동)",032-212-7528,126.6460172,37.4244745,옥련동
235,의원,송도아이비에스(IBS)내과의원,"인천광역시 연수구 센트럴로 263, 송도국제업무단지 C8-2블럭 업무복합시설 (송도동)",070-7542-6576,126.6335872,37.39866124,송도동
236,치과의원,클린연세치주과치과의원,"인천광역시 연수구 신송로 168, 이든프라자 403호 (송도동)",032-212-9700,126.6486623,37.3986734,송도동
237,치과의원,루아어린이치과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 309,310호 (송도동)",032-217-2879,126.6484391,37.39759467,송도동
238,치과의원,투유치과의원,"인천광역시 연수구 신송로 154, 더 제니스 303,304호 (송도동)",032-229-2879,126.6497661,37.39777909,송도동
239,치과의원,연수새움치과의원,"인천광역시 연수구 먼우금로 189, 309, 310, 311호 (청학동, 소망글로벌)",032-231-5656,126.6758534,37.41462357,청학동
240,치과의원,연세아이웰치과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 B04호 (송도동)",032-233-2828,126.6421469,37.38419018,송도동
241,치과의원,연수퍼스트치과의원,"인천광역시 연수구 앵고개로246번길 10, 2,3층 (동춘동, 대산프라자)",032-214-2875,126.6706046,37.40841618,동춘동
242,치과의원,송도트리플치과의원,"인천광역시 연수구 송도과학로16번길 33-3, 송도 트리플스트리트 C동 2층 일부호 (송도동)",032-282-7528,126.6612504,37.37981773,송도동
243,치과의원,연수바른치과의원,"인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) 1층 일부호 (동춘동)",032-255-2828,126.6728198,37.40697151,동춘동
244,치과의원,하이덴치과의원,"인천광역시 연수구 먼우금로 96, 3층 (동춘동, 금송빌딩)",032-255-2875,126.6704508,37.4075498,동춘동
245,치과의원,송도윤치과의원,"인천광역시 연수구 해돋이로 168, 혜인프라자 302호 (송도동)",032-252-2828,126.6452104,37.39542885,송도동
246,치과의원,서울스마트치과의원,"인천광역시 연수구 송도미래로 30, E동 205, 206호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",032-258-2828,126.6490966,37.36728943,송도동
247,치과의원,송도요셉치과의원,"인천광역시 연수구 아트센터대로 87, 커낼워크D4 WINTER 402동 219,220호 (송도동)",032-282-8119,126.6404248,37.40215703,송도동
248,치과의원,김성기김진형치과의원,인천광역시 연수구 학나래로6번길 16 (선학동),032-422-9890,126.6977003,37.42363598,선학동
249,치과의원,스퀘어치과의원,"인천광역시 연수구 청능대로 210, 3층 (동춘동, 스퀘어원)",032-456-4311,126.6836222,37.40599741,동춘동
250,치과의원,송도굿모닝치과의원,"인천광역시 연수구 랜드마크로 113, 203,204,205호 (송도동, e편한세상 송도)",032-461-2080,126.6176511,37.40923975,송도동
251,치과의원,송도웰치과의원,"인천광역시 연수구 송도문화로28번길 28, 203동 2층 3-206호 (송도동, 송도글로벌캠퍼스푸르지오)",032-262-2828,126.6558312,37.3770832,송도동
252,치과의원,송도하버치과의원,"인천광역시 연수구 해돋이로 168-7, 203호 (송도동, 레드원프라자)",032-721-7528,126.6456698,37.39591169,송도동
253,치과의원,유펜아리조나치과교정과치과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 405일부호, 406호 (송도동)",032-710-2077,126.64915,37.39716984,송도동
254,치과의원,친절한이치과의원,"인천광역시 연수구 랜드마크로 68, 258,259,260호 (송도동, 랜드마크시티센트럴더샵)",032-710-2825,126.6212329,37.41563898,송도동
255,치과의원,하나어린이치과의원,"인천광역시 연수구 센트럴로 194, A동 228호 (송도동, 더샵 센트럴파크2)",032-710-0003,126.6418738,37.39378585,송도동
256,치과의원,지안하늘치과의원,"인천광역시 연수구 센트럴로 263, IBS타워 7층 (송도동)",032-713-7974,126.6335872,37.39866124,송도동
257,치과의원,연수예스치과의원,"인천광역시 연수구 청능대로 109, 8층 (연수동, 탑피온빌딩)",032-810-1010,126.6767189,37.41298643,연수동
258,치과의원,박성빈치과의원,"인천광역시 연수구 함박뫼로 250, 206호 (연수동, 풍림아파트상가)",032-811-1871,126.6917391,37.41686766,연수동
259,치과의원,미소연치과의원,"인천광역시 연수구 앵고개로 242, 4층 406호 (동춘동)",032-811-8228,126.6708262,37.4086566,동춘동
260,치과의원,에이스치과의원,"인천광역시 연수구 비류대로 429, 3층 (연수동)",032-811-9964,126.6825029,37.42440707,연수동
261,치과의원,송도이앤이치과의원,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 244,245,246호 (송도동)",032-719-2177,126.627633,37.41050721,송도동
262,치과의원,기호경치과의원,"인천광역시 연수구 청능대로 124, 211,212호 (동춘동, 금호동아에이상가)",032-812-3744,126.6760608,37.41147207,동춘동
263,치과의원,산치과의원,"인천광역시 연수구 앵고개로 262, 501호, 502호 (동춘동, 동경프라자)",032-812-2077,126.6725576,37.40749426,동춘동
264,치과의원,연세치과의원,"인천광역시 연수구 원인재로 88, 308호 (동춘동, 대우상가)",032-812-2824,126.6800838,37.40699507,동춘동
265,치과의원,이상호치과의원,"인천광역시 연수구 원인재로 56 (동춘동, 현대아파트상가)",032-812-1568,126.6769963,37.40308336,동춘동
266,치과의원,서울오라치과의원,"인천광역시 연수구 앵고개로264번길 10-1, 아촌빌딩 4층 (동춘동)",032-812-2875,126.6722791,37.40719577,동춘동
267,치과의원,e-편한치과의원,"인천광역시 연수구 원인재로 180, 303호 (연수동, 연수우성2차아파트)",032-812-7528,126.6855598,37.41301342,연수동
268,치과의원,이원준치과의원,"인천광역시 연수구 원인재로 88, 2층 (동춘동, 대우삼환상가)",032-812-8260,126.6800838,37.40699507,동춘동
269,치과의원,해피키즈치과의원,"인천광역시 연수구 먼우금로 190, 302,303호 (연수동)",032-813-2207,126.6767146,37.4140527,연수동
270,치과의원,올에이치과의원,"인천광역시 연수구 함박뫼로 70, 2층 (연수동)",032-813-2275,126.6752496,37.42263871,연수동
271,치과의원,주창범치과의원,"인천광역시 연수구 원인재로 312, 401-305호 (연수동, 시영상가)",032-812-2882,126.6962327,37.42194228,연수동
272,치과의원,연수센트럴치과의원,"인천광역시 연수구 경원대로483번길 6, 2층 (선학동, 원영빌딩)",032-815-1985,126.6984872,37.42752436,선학동
273,치과의원,정철웅치과의원,"인천광역시 연수구 원인재로 312, 3층 (연수동, 대림상가)",032-813-6253,126.6962327,37.42194228,연수동
274,치과의원,송도이안치과의원,"인천광역시 연수구 송도문화로28번길 28, 203동 205호 (송도동, 송도글로벌캠퍼스푸르지오상가)",032-814-2275,126.6558312,37.3770832,송도동
275,치과의원,송도캠퍼스치과의원,"인천광역시 연수구 송도과학로27번길 55, A동 303, 304호 (송도동, 롯데캐슬캠퍼스타운)",032-813-2879,126.6642625,37.38803691,송도동
276,치과의원,행복치과의원,인천광역시 연수구 비류대로 599 (선학동),032-814-2879,126.7013459,37.42334159,선학동
277,치과의원,연세제일치과의원,"인천광역시 연수구 먼우금로 190, 연수프라자 404호 (연수동)",032-815-2275,126.6767146,37.4140527,연수동
278,치과의원,연수준치과의원,인천광역시 연수구 원인재로 313 (연수동),032-815-2875,126.6932889,37.42155988,연수동
279,치과의원,연합연수치과의원,"인천광역시 연수구 먼우금로83번길 12, 2층 209호 (동춘동)",032-815-6063,126.6687872,37.40778509,동춘동
280,치과의원,이석현치과의원,"인천광역시 연수구 선학로 90, 205호 (선학동, 아주상가)",032-815-7327,126.7017219,37.42486652,선학동
281,치과의원,예본플란트치과의원,"인천광역시 연수구 새말로 27 (연수동, 동남스포피아 117호,118호,119호,120호)",032-814-3461,126.6748622,37.42304792,연수동
282,치과의원,강남365치과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 501~503,504일부,608,609-1호 (송도동)",032-817-3650,126.656664,37.38094155,송도동
283,치과의원,모든치과의원,"인천광역시 연수구 용담로 147, 2층 (연수동)",032-816-6373,126.6804598,37.41313951,연수동
284,치과의원,흰돌치과의원,"인천광역시 연수구 먼우금로 19, 213호 (동춘동, 동남상가)",032-817-0022,126.6674326,37.40072245,동춘동
285,치과의원,열린치과의원,"인천광역시 연수구 비류대로 435, 3층 (연수동, 학구빌딩)",032-816-2275,126.6829944,37.42437171,연수동
286,치과의원,최경근치과교정과치과의원,인천광역시 연수구 용담로 148 (연수동),032-817-1552,126.6802374,37.41291353,연수동
287,치과의원,월드치과의원,"인천광역시 연수구 샘말로 56, 2층 (연수동)",032-817-6230,126.6797471,37.41362941,연수동
288,치과의원,가람치과의원,"인천광역시 연수구 용담로 115, 201동 202호 (연수동, 파크타운)",032-817-7927,126.6778155,37.41511405,연수동
289,치과의원,연수서울치과의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, BYC빌딩)",032-817-8177,126.6762619,37.41364664,연수동
290,치과의원,이재헌치과의원,"인천광역시 연수구 원인재로 14, 205호 (동춘동, 무지개마을단지상가)",032-817-9495,126.6700279,37.40128601,동춘동
291,치과의원,송주헌치과의원,"인천광역시 연수구 청능대로 175, 3층 303호 (연수동, 우성1차상가)",032-817-2875,126.6831238,37.40882153,연수동
292,치과의원,모아치과의원,"인천광역시 연수구 앵고개로 256, 웅지프라자, 5층 (동춘동)",032-821-2828,126.6720178,37.40783029,동춘동
293,치과의원,스카이치과의원,"인천광역시 연수구 먼우금로 194, 메카오피스텔 204호 (연수동)",032-818-2828,126.6769905,37.41433314,연수동
294,치과의원,연수부부치과의원,"인천광역시 연수구 앵고개로 250, 305,306호 (동춘동)",032-818-2811,126.6715059,37.40818455,동춘동
295,치과의원,서울이도원치과의원,"인천광역시 연수구 송도과학로27번길 55, B동 307, 308호 (송도동, 롯데캐슬캠퍼스타운)",032-818-2875,126.6642625,37.38803691,송도동
296,치과의원,연수선치과의원,"인천광역시 연수구 용담로 153, 202호 (연수동, 대동월드)",032-821-7528,126.681403,37.41327765,연수동
297,치과의원,쥬니어플러스치과의원,"인천광역시 연수구 컨벤시아대로 69, 7층 710호 (송도동, 밀레니엄빌딩)",032-819-2286,126.6509557,37.39571542,송도동
298,치과의원,두손모아치과의원,"인천광역시 연수구 청능대로 93, 404호 (청학동, 두손빌딩)",032-821-7575,126.6756664,37.41431941,청학동
299,치과의원,연수청아치과의원,"인천광역시 연수구 새말로 90, 2층 (연수동, 두림빌딩)",032-822-2875,126.679313,37.41857394,연수동
300,치과의원,연수웰치과의원,"인천광역시 연수구 앵고개로264번길 18, 3층 (동춘동)",032-822-7522,126.672156,37.40708764,동춘동
301,치과의원,연수치과의원,인천광역시 연수구 경원대로467번길 3 (선학동),032-819-2828,126.6982543,37.42583725,선학동
302,치과의원,서울바른치과교정과치과의원,"인천광역시 연수구 신송로 160, 넥서스 203,204호 (송도동)",032-831-2080,126.6491962,37.39801835,송도동
303,치과의원,박성호치과의원,인천광역시 연수구 독배로40번길 25 (옥련동),032-831-2875,126.6462318,37.42448507,옥련동
304,치과의원,엘리샤인터내셔널치과의원,"인천광역시 연수구 인천타워대로132번길 34, 502호 (송도동)",032-831-0027,126.6439442,37.38636286,송도동
305,치과의원,연수청원치과의원,"인천광역시 연수구 독배로40번길 11, 403,404호 (옥련동, 효명프라자)",032-831-2420,126.6456358,37.42452763,옥련동
306,치과의원,민트치과의원,"인천광역시 연수구 앵고개로104번길 4, 준빌딩 3층 301호 (동춘동)",032-831-2885,126.6570538,37.41238996,동춘동
307,치과의원,송도퍼스트치과의원,인천광역시 연수구 컨벤시아대로 165 (송도동),032-831-2812,126.6444436,37.38914175,송도동
308,치과의원,필치과의원,"인천광역시 연수구 독배로 56, 3층 (옥련동)",032-831-6607,126.6449011,37.42562828,옥련동
309,치과의원,신용철치과의원,인천광역시 연수구 비류대로 194 (옥련동),032-831-7177,126.656311,37.4277347,옥련동
310,치과의원,이턱플란트치과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 401,402호 (송도동)",032-831-7525,126.6421469,37.38419018,송도동
311,치과의원,랜드마크치과의원,"인천광역시 연수구 랜드마크로 68, 301동 270,271호 (송도동, 랜드마크시티센트럴더샵)",032-831-2822,126.6212329,37.41563898,송도동
312,치과의원,권호진치과의원,"인천광역시 연수구 독배로 58, 2층 204호 (옥련동, 옥련2차현대아파트상가)",032-832-2275,126.6471953,37.42503554,옥련동
313,치과의원,커낼여름치과보존과치과의원,"인천광역시 연수구 아트센터대로 131, 커낼워크D2 SUMMER 202동 228호 (송도동)",032-832-2879,126.6368956,37.39935875,송도동
314,치과의원,서울고른이치과교정과치과의원,"인천광역시 연수구 컨벤시아대로 69, 208호 (송도동, 송도밀레니엄)",032-831-7928,126.6509557,37.39571542,송도동
315,치과의원,옥련서울치과의원,"인천광역시 연수구 독배로40번길 35 (옥련동, 대명빌딩)",032-832-2804,126.6468293,37.42462008,옥련동
316,치과의원,센트럴치과의원,"인천광역시 연수구 해돋이로 118 (송도동,마린프라자 3층 301호)",032-832-2885,126.649571,37.3923416,송도동
317,치과의원,송도봄치과의원,"인천광역시 연수구 해돋이로 168-15, 글로벌시티프라자 503,504호 (송도동)",032-832-2822,126.646154,37.39635866,송도동
318,치과의원,푸른하늘치과의원,"인천광역시 연수구 독배로 42, 6층 (옥련동, 해창빌딩)",032-832-5670,126.6449035,37.42451603,옥련동
319,치과의원,케이라인치과의원,"인천광역시 연수구 인천타워대로54번길 13 (송도동, 해승메디피아)",032-832-9221,126.6463595,37.37917306,송도동
320,치과의원,송도이플란트치과의원,"인천광역시 연수구 인천타워대로54번길 3, 3층 304호 (송도동, 메트로프라자)",032-833-2075,126.6456371,37.37853419,송도동
321,치과의원,송도치과의원,"인천광역시 연수구 비류대로 208, 4층 402호 (옥련동, 송도역전빌딩)",032-832-2875,126.6576816,37.42741548,옥련동
322,치과의원,서울본치과의원,"인천광역시 연수구 컨벤시아대로130번길 14, 305,306호 (송도동, 메디플러스)",032-833-2281,126.6448883,37.392955,송도동
323,치과의원,푸른치과의원,인천광역시 연수구 청솔로 11 (청학동),032-833-2875,126.6611661,37.42782154,청학동
324,치과의원,두손치과의원,"인천광역시 연수구 독배로 41, 3층 (옥련동, 인영상가)",032-833-2275,126.6443535,37.42442552,옥련동
325,치과의원,연세커낼치과의원,"인천광역시 연수구 아트센터대로 149, 102동 212호 (송도동, 커낼워크D1 SPRING)",032-833-2804,126.6359002,37.39798773,송도동
326,치과의원,오즈치과교정과치과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 807호 (송도동)",032-833-2882,126.6484391,37.39759467,송도동
327,치과의원,송도나음치과의원,"인천광역시 연수구 아트센터대로168번길 100, 한라 웨스턴파크 송도 F동 235호 (송도동)",032-833-2828,126.6286013,37.40580028,송도동
328,치과의원,청학치과의원,"인천광역시 연수구 비류대로294번길 32-5, 2층 (청학동, 신우상가)",032-833-4146,126.6660034,37.42467129,청학동
329,치과의원,연세바른이치과의원,"인천광역시 연수구 하모니로36번길 1, 2층 (송도동, 자인갤러리)",032-833-5552,126.6512508,37.39158932,송도동
330,치과의원,굿모닝치과의원,"인천광역시 연수구 독배로40번길 47, 2층 (옥련동)",032-833-7528,126.6475313,37.42460261,옥련동
331,치과의원,뿌리애치과의원,"인천광역시 연수구 하모니로 124, 5층 503호 (송도동, 송도타운)",032-833-2833,126.6451683,37.38566415,송도동
332,치과의원,달콤어린이치과의원,"인천광역시 연수구 컨벤시아대로230번길 54, 415,416호 (송도동)",032-833-8279,126.6343345,37.38874008,송도동
333,치과의원,이든치과의원,"인천광역시 연수구 한나루로 190, 3층 (옥련동, 송도프라자)",032-834-2875,126.6569118,37.42625897,옥련동
334,치과의원,뿌리샘치과의원,인천광역시 연수구 청량로 180 (옥련동),032-834-0428,126.6533085,37.4230262,옥련동
335,치과의원,포레스트치과의원,"인천광역시 연수구 해돋이로 165, 차오름 프라자 404호 (송도동)",032-833-7573,126.6450899,37.39474475,송도동
336,치과의원,송도위드치과의원,"인천광역시 연수구 신송로 166, 303호 (송도동, 플러스원프라자)",032-834-7522,126.6484564,37.39843847,송도동
337,치과의원,연치과의원,"인천광역시 연수구 용담로 11, 시대아파트 상가 201호 (청학동)",032-834-0815,126.6691275,37.42147906,청학동
338,치과의원,미추홀치과의원,"인천광역시 연수구 한진로 23, 4층 401호 (옥련동, 로얄프라자)",032-834-7528,126.6478392,37.42466432,옥련동
339,치과의원,박성철그리고치과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 310호 (송도동)",032-834-7575,126.64915,37.39716984,송도동
340,치과의원,예스플란트송도우리치과의원,"인천광역시 연수구 해돋이로 107, 61,62호 (송도동, 송도더샵퍼스트월드 H동)",032-835-6875,126.648814,37.38960595,송도동
341,치과의원,송도스마일치과의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 311호 (송도동)",032-834-2070,126.6349141,37.38808543,송도동
342,치과의원,김태건치과의원,"인천광역시 연수구 해돋이로 168-2, 301호 (송도동)",032-851-2828,126.6456783,37.3950122,송도동
343,치과의원,센트럴D＆D치과의원,"인천광역시 연수구 센트럴로 232, A동 211호 (송도동)",032-858-2275,126.6375683,37.39636124,송도동
344,치과의원,이종훈치과교정과치과의원,"인천광역시 연수구 센트럴로 194, A동 225호 (송도동, 더샵 센트럴파크2)",032-851-2879,126.6418738,37.39378585,송도동
345,치과의원,신세계정치과의원,"인천광역시 연수구 센트럴로 160, 101동 208호 (송도동, 송도센트럴파크푸르지오)",032-851-2082,126.644994,37.39200033,송도동
346,치과의원,서울고운이치과의원,"인천광역시 연수구 독배로40번길 29, 5층 (옥련동, 대성빌딩)",032-851-8876,126.6465752,37.42450107,옥련동
347,치과의원,서울미시간치과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 404호,405일부호, 406일부호 (송도동)",032-858-2280,126.64915,37.39716984,송도동
348,치과의원,송도드림치과의원,"인천광역시 연수구 신송로 122, 304호 (송도동, 송도프라자)",032-858-2800,126.6524353,37.39581436,송도동
349,치과의원,오케이치과의원,"인천광역시 연수구 신송로 121, 402호 (송도동, 센타프라자)",032-858-2828,126.6518858,37.3953922,송도동
350,치과의원,뉴욕치과의원,"인천광역시 연수구 신송로125번길 7, 406호 (송도동, 이리옴프라자)",032-858-9678,126.6515588,37.39494818,송도동
351,치과의원,서울플란트치과의원,"인천광역시 연수구 신송로 121, 404호 (송도동, 센타프라자)",032-858-2255,126.6518858,37.3953922,송도동
352,치과의원,제이치과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 205호 (송도동)",032-859-0700,126.6484391,37.39759467,송도동
353,한의원,약선당 부부한의원,"인천광역시 연수구 먼우금로 190, 연수프라자 203,207,208호 (연수동)",032-233-1075,126.6767146,37.4140527,연수동
354,치과의원,연세세이브치과의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 204호 (송도동)",032-859-7528,126.6349141,37.38808543,송도동
355,치과의원,랜더스치과의원,"인천광역시 연수구 컨벤시아대로230번길 54, 닥터플러스몰 6층 A609,A610,A611,A612,A613호 (송도동)",032-859-0028,126.6343345,37.38874008,송도동
356,치과의원,황치일치과교정과치과의원,"인천광역시 연수구 테크노파크로111번길 15, 일셋빌딩 6층 (송도동)",032-868-2077,126.6438341,37.38497577,송도동
357,한의원,이레한의원,"인천광역시 연수구 신송로 161, 송도 하이츠 301,302호 (송도동)",032-258-1075,126.6484391,37.39759467,송도동
